;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Código da Escola;Nome da Escola;Loclização;Unidade da Federação;Município
;;;;
;;;;
PK_COD_ENTIDADE;Nome_Escola;Localizacao;UF;Municipio
41007573;ANGELO MOREIRA DA FONSECA E M DR EI EF;Urbana;Paraná;UMUARAMA
41007611;ESCOLA INTEGRADA PRISMA - ED INFANTIL ENS FUNDAMENTAL E MEDIO;Urbana;Paraná;UMUARAMA
41007620;BILINGUE ANNE SULLIVAN E E EI EF MOD EE;Urbana;Paraná;UMUARAMA
41007662;BENJAMIN CONSTANT E M EF;Urbana;Paraná;UMUARAMA
41007670;BENTO MOSSURUNGA C E EF M N;Urbana;Paraná;UMUARAMA
41007751;CARLOS GOMES E M EI EF;Urbana;Paraná;UMUARAMA
41007808;GLOBAL COL ED INF ENS FUND MED;Urbana;Paraná;UMUARAMA
41007875;DURVAL SEIFERT E E EF;Urbana;Paraná;UMUARAMA
41007883;DYNAMIS C EI EF M;Urbana;Paraná;UMUARAMA
41007956;EVANGELICA E M EI EF;Urbana;Paraná;UMUARAMA
41008006;GERMANO NORBERTO RUDNER E M DR EI EF;Urbana;Paraná;UMUARAMA
41008057;HILDA TRAUTWEIN KAMAL C E PROFA EF M P;Urbana;Paraná;UMUARAMA
41008065;ISA MESQUITA E E E FUND;Urbana;Paraná;UMUARAMA
41008073;IZABEL C E PRINC EF M;Urbana;Paraná;UMUARAMA
41008090;JARDIM BIRIGUI E M EI EF;Urbana;Paraná;UMUARAMA
41008103;JARDIM CANADA E E DO EF;Urbana;Paraná;UMUARAMA
41008111;JARDIM CRUZEIRO E E DO EF;Urbana;Paraná;UMUARAMA
41008120;JARDIM UNIAO E M EI EF;Urbana;Paraná;UMUARAMA
41008138;ESCOLA SAPIENS EDUC INF E ENS FUND - SEDE;Urbana;Paraná;UMUARAMA
41008170;JOSE BALAN C E VER EF M PROFIS;Urbana;Paraná;UMUARAMA
